A.097.00.00;A.097.00.00 ~ Чан контактный V=10 m3
A.098.00.00;A.098.00.00 ~ Бак объемом 40 м3
A.099.00.00;A.099.00.00 ~ Ванна для дезактивации мелкого оборудования
A.100.00.00;A.100.00.00 ~ Распределитель смолы
A.102.00.00;A.102.00.00 ~ Труба маточников денитрации
A.103.00.00;A.103.00.00 ~ Коллектор
A.104.00.00;A.104.00.00 ~ Опора трубы Ду 700
A.105.00.00;A.105.00.00 ~ Распределитель смолы
A.106.00.00;A.106.00.00 ~ Установка гидроэжектора
A.138.00.00;A.138.00.00 ~ Бак объемом 300 м3
B01;B01 ~ Камера воздушных клапанов TS2-B01
B04;B04 ~ Камера распределения MY3-B04
B05A;B05A ~ Камера воздушного клапана TN2-B05A
CC-0;0 ~ Генеральный план
CC-1;1 ~ Жилые вагоны для рабоч. персонала
CC-10;10 ~ Пост охраны
CC-11;11 ~ Скалады ангары
CC-12;12 ~ Скважина
CC-13;13 ~ Водонапорная башня V=25м3
CC-14;14 ~ Бактерицидная установка
CC-15;15 ~ Пожарный резервуар
CC-16;16 ~ Песколовка
CC-17;17 ~ Песковая площадка
CC-18;18 ~ Установка БИО-ЭЙКОС-200
CC-19;19 ~ Модуль доочистки
CC-2;2 ~ Туалет
CC-20;20 ~ Резервуар V=10м3
CC-21;21 ~ Иловые карты
CC-22;22 ~ Поля фильтрации
CC-23;23 ~ Канализационная насосная станция
CC-27;27 ~ КТП 10 0,4кВ
CC-28;28 ~ Парковка для спецтехники
CC-29;29 ~ Парковка на 21 лег машину
CC-3;3 ~ Душевые
CC-30;30 ~ Парковка на 30 лег машнину
CC-4;4 ~ Медпункт
CC-5;5 ~ Комендантская
CC-6;6 ~ Прачечная
CC-7;7 ~ Столовая
CC-8;8 ~ Душевые, туалет для ИТР
CC-9;9 ~ Склад для столовой
D01;D01 ~ Камера сливного клапана TN2-D01 | D01 ~ Камера сливного клапана TS1-D01 | D01 ~ Камера распределения MY3-D01 | D01 ~ Дренажная камера TS2-D01
D02;D02 ~ Камера сливного клапана TN2-D02
D02A;D02A ~ Камера сливного клапана TS1-D02A
K;K ~ Опоры под задвижки | K ~ Опоры под кислотопровод для сети М2, М4
K.1818.000.00;K.1818.000.00 ~ Люк обслуживания Ду 600
K.1956.070.00;K.1956.070.00 ~ Кронштейн
K.2007.000.00;K.2007.000.00 ~ Скруббер пенный
K.2064.060.00;K.2064.060.00 ~ Крышка люка
K.2083.000.00;K.2083.000.00 ~ Осушитель воздуха
K.2103.000.00;K.2103.000.00 ~ Люк обслуживания 500 * 500
K.2116.000.00;K.2116.000.00 ~ Патрубок Ду 50
K.2141.000.00;K.2141.000.00 ~ Емкость V=600 m3
K.2145.000.00;K.2145.000.00 ~ Опора трубы Ду 500
K.2185.000.00;K.2185.000.00 ~ Емкость Vраб.=25 м3 с фильтром
K.2199.000.00;K.2199.000.00 ~ Патрубок
K.2200.000.00;K.2200.000.00 ~ Патрубок Ду50
K.2212.000.00;K.2212.000.00 ~ Колонна SNK-3M
K.2215.000.00;K.2215.000.00 ~ Отвод
K.2219.000.00;K.2219.000.00 ~ Бак V=400 м3
K.2223.000.00;K.2223.000.00 ~ Бункер V=6 m3
K.2224.000.00;K.2224.000.00 ~ Патрубок
K.2226.000.00;K.2226.000.00 ~ Емкость V=600m3
K.2227.000.00;K.2227.000.00 ~ Распределитель смолы
K.2231.000.00;K.2231.000.00 ~ Распределитель сорбента
K.2234.000.00;K.2234.000.00 ~ Опора трубы Ду 1000
K.2240.000.00;K.2240.000.00 ~ Бак V=50 м3
K.2241.000.00;K.2241.000.00 ~ Скруббер 500
K.2243.000.00;K.2243.000.00 ~ Опора трубы Ду 600
K.2245.000.00;K.2245.000.00 ~ Емкость Vраб.=20 m3
K.2291.000.00;K.2291.000.00 ~ Резервуар уравнительный
K.2293.000.00;K.2293.000.00 ~ Усиление балок днища бака V=400
K.2300.000.00;K.2300.000.00 ~ Бункер буферный
K.2301.000.00;K.2301.000.00 ~ Шнек
K.2302.000.00;K.2302.000.00 ~ Компоновка оборудования
K.2303.000.00;K.2303.000.00 ~ Устройство для монтажа печи
K.2321.000.00;K.2321.000.00 ~ Бак V=5 м3
K.2335.000.00;K.2335.000.00 ~ Патрубок
K.2336.000.00;K.2336.000.00 ~ Скруббер пенный 600 (реконструкция)
K.2337.000.00;K.2337.000.00 ~ Скруббер пенный (реконструкция)
K.2344.000.00;K.2344.000.00 ~ Переход
K.2345.000.00;K.2345.000.00 ~ Переход
K01;K01 ~ Камера распределения TS1-M01 | K01 ~ Камеры распределения TN2-M01 | K01 - Камера распределения MY1-M01 | K01 ~ Камера распределения TN3-M01
K01A;K01A ~ Камера распределения TN2-M01A | K01A - Камера распределения MY1-M01A | K01A ~ Камера распределения TS1-M01A | K01A ~ Камера распределения TW1-M01A
K01B;K01B ~ Камера распределения TW1-M01B | K01B ~ Камера распределения MY1-M01B
